"Identyfikator posta","Identyfikator strony","Nazwa strony",Tytuł,Opis,"Czas trwania (s)","Czas publikacji","Typ napisu","Link bezpośredni","Jest crosspostem","Jest udostępniony","Typ posta",Języki,"Etykiety niestandardowe","Status materiałów sponsorowanych","Komentarz dotyczący danych",Data,Wyświetlenia,"60-sekundowe wyświetlenia filmu","3-sekundowe wyświetlenia filmu","Całkowita liczba kliknięć","Kliknięcia linku","Inne kliknięcia","Liczba wyświetleń zdjęcia","Średni czas spędzany w artykule","Dzienna głębokość przewijania artykułu","Liczba odbiorców",Aktywności,Udostępnienia,Polubienia,Komentarze,"CPM reklamy (USD)","Wyświetlenia reklamy","Wyświetlone Sekundy","Średnie wyświetlenie – Sekundy","Szacowane dochody (USD)"
122105598362163851,202568946272592,GreenO2,,"Dear GREENO2 Friends,
Wishing you all an extraordinary 2024 filled with inspiration and success! 🌿 We're thrilled to share our commitment to the GREENO2 project, coordinated by the University of TUSCIA and co-financed by the Erasmus+ program.
GREENO2 aims to transform higher education institutions into sustainable centers for research, participation, environmental awareness, and oxygen generation. 🌍 Over the next three years, we will promote solutions for both vertical and horizontal greenery, actively engaging the academic community in environmental conservation and enhancing well-being in higher education.
Online education will play a pivotal role in increasing environmental awareness through the practice of ""green roofs"" and sustainable solutions. Recognizing the pivotal role of universities in fostering sustainable development and addressing climate change, GREENO2 is dedicated to turning green roofs into spaces for research, participation, and environmental awareness, involving university staff and students actively.

The recent kickoff meeting in Athens was a success, with a multidisciplinary partnership from various nations. This collaboration between universities, non-profit organizations, and businesses is a significant step toward achieving our common goals.
With confidence, we look ahead to the next 36 months, during which we will work together to turn GREENO2's vision into reality. Wishing you all a year full of inspiration, innovation, and success. 🌱
@Università degli studi della Tuscia
@GRIPEN EUROPE
@Panteion University
@The University of Social and Media Culture
@Lim Srl
@The Taras Shevchenko National University of Kyiv
@The University of Cadiz",0,"01/01/2024 01:01",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02tsX7c38HucNjCg5d62UQKP8aViJkgkPU2TXxgVLbvBqdgrDH2dc3t9VkHLjPjcLUl&id=61554915549564,0,0,Tekst,,,,,"Cały okres",76,0,0,3,,3,,0,0,44,9,0,9,0,,,,,
122105597588163851,202568946272592,GreenO2,"Zmiana statusu",,0,"01/01/2024 01:01",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0o95wFaFbE1CN9R4XQbhXFkLMVdNh3dt41hLm92PCmQXqJXdRPuXkP9C5Kok78pH7l&id=61554915549564,0,1,Zdjęcie,,,,,"Cały okres",62,0,0,6,,1,5,0,0,34,9,0,9,0,,,,,
122133721676163851,202568946272592,GreenO2,,"Another important point of our project: meeting of team members from several countries!
An important organizational meeting took place today before the dissemination event in Cadiz!
Busy day!",0,"03/22/2024 02:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02AYodjub6ndMxRpbVrEJcD9qeuj364xwFwdNLiutCnRe27aJQqTvV9m8ixN1ut5nyl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",32,0,0,8,,4,4,0,0,27,13,0,12,1,,,,,
122129576852163851,202568946272592,GreenO2,,"Why is it worth it⁉️
Green roofs can aid in building insulation, preventing heat loss in winter and reducing room heating in summer, thereby contributing to lower energy consumption for heating and air conditioning🥶🥵",0,"03/18/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0hFNGTRgnMXLFFpESewGSLL6rrUDGq3MgV1LDDq7T9RkowF8DmMsCEALg1umYeQjCl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",28,0,0,0,,,,0,0,21,3,0,3,0,,,,,
122129576438163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The vegetation on green roofs can help retain soil and reduce erosion, especially in areas prone to strong winds and heavy rainfall🌂☔️",0,"03/17/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02BqcYxjaiifYASh7UHXyL3ETJCpfmFiDftegJr656vrpbyrwB1weRVawWtNHpZLsKl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",25,0,0,0,,,,0,0,20,4,0,4,0,,,,,
122129576060163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The vegetation on green roofs can create habitats for various plant species, insects, and birds, contributing to the increase in biodiversity in the city🐛🪱",0,"03/16/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02tP8E5LttXtgcBJ1SyZ7VhPLRgF858Y6ajx5JS2sRtgdCWpLgLMmQFuwr25CZyRKSl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",23,0,0,1,,1,,0,0,18,5,0,5,0,,,,,
122129575622163851,202568946272592,GreenO2,,"Why is it worth it⁉️
Green roofs add aesthetic charm to buildings and the surrounding areas, which can enhance the architectural appeal of the university and draw attention from visitors to the campus🌺🌼",0,"03/15/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid034mrdD6vA3eAftv81d3uCP29QMcryJc9WokaJEeyFmDkhjcpt7rVZLHeoTNbgGXRxl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",32,0,0,2,,2,,0,0,24,5,0,5,0,,,,,
122129575148163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The vegetation layer on a green roof can act as a natural shield, protecting building occupants from harmful UV radiation and reducing the risk of skin diseases ☀️🌻",0,"03/14/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0ZTEjeP5puRk73DqD7bKa1sbFJdM6i532Qgbk1JwmFYnB7YbBwvY3qjhMuMT6hLKsl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",30,0,0,3,,3,,0,0,23,7,0,7,0,,,,,
122129573864163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The vegetation on green roofs can contribute to reducing the need for watering the soil on campus, which can save water and lower the costs of maintaining green areas 💦💧",0,"03/13/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0H7HzuDz4fBwG5JDwbuia54Aa264zJEmRtPsHzumm22z521T2JQbRj7TLi9bsiRgSl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",29,0,0,0,,,,0,0,19,5,0,5,0,,,,,
122129572808163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The university can utilize green roofs as an educational tool to emphasize the importance of sustainable design and ecological approaches to urban planning, as well as to encourage actions for environmental conservation📖🧑‍🏫👨‍🏫",0,"03/13/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02wofoT2eG9gHMF5n5YvuEoXsTpHsFnFG2txTGZo341i6CHZ2dxQyBVNuqy6ULJLoUl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",30,0,0,0,,,,0,0,22,5,0,5,0,,,,,
